"Date","#1","#2","#3","#4","#5","#6","#7","PB"
"21/11/24","3","11","15","19","22","30","31","2"
"14/11/24","4","5","10","11","14","19","25","20"
"07/11/24","3","15","23","26","31","32","33","6"
"31/10/24","3","9","11","14","26","34","35","7"
"24/10/24","1","5","8","9","14","22","33","2"
"17/10/24","2","6","16","21","27","30","35","7"
"10/10/24","5","7","10","11","28","33","35","1"
"03/10/24","10","11","13","15","16","18","34","2"
"26/09/24","9","10","12","15","20","29","30","16"
"19/09/24","4","7","9","10","12","24","32","15"
"12/09/24","9","12","22","24","31","32","34","10"
"05/09/24","3","7","13","18","21","25","32","18"
"29/08/24","6","9","12","15","20","21","34","15"
"22/08/24","4","10","11","16","18","23","24","6"
"15/08/24","1","8","11","12","16","18","28","15"
"08/08/24","4","7","8","20","23","29","32","17"
"01/08/24","2","6","8","10","21","27","30","9"
"25/07/24","5","6","7","8","12","16","17","13"
"18/07/24","4","6","16","18","20","28","31","6"
"11/07/24","9","12","16","17","19","20","22","9"
"04/07/24","6","8","9","12","13","21","30","4"
"27/06/24","5","8","9","12","18","33","34","6"
"20/06/24","1","11","17","20","23","30","32","16"
"13/06/24","2","6","9","17","25","26","32","4"
"06/06/24","2","3","5","14","18","20","30","4"
"30/05/24","2","3","10","20","22","33","35","9"
"23/05/24","4","6","8","18","28","29","34","11"
"16/05/24","1","2","9","12","13","14","18","3"
"09/05/24","1","3","6","12","16","18","32","4"
"02/05/24","2","4","5","7","13","23","25","16"
"25/04/24","3","17","20","28","29","32","34","18"
"18/04/24","9","18","22","23","31","34","35","1"
"11/04/24","4","6","20","21","24","25","30","2"
"04/04/24","1","7","10","19","20","25","31","11"
"28/03/24","6","9","15","18","19","29","34","4"
"21/03/24","3","7","10","12","13","24","25","11"
"14/03/24","5","15","24","27","30","32","35","2"
"07/03/24","2","4","6","8","20","24","30","10"
"29/02/24","3","5","13","24","25","31","33","17"
"22/02/24","5","6","7","12","27","28","33","4"
"15/02/24","5","10","15","18","19","34","35","20"
"08/02/24","6","7","12","16","20","25","26","2"
"01/02/24","1","12","23","26","32","33","35","10"
"25/01/24","1","4","6","9","21","26","27","10"
"18/01/24","17","20","21","22","24","31","34","6"
"11/01/24","2","5","16","25","30","32","34","7"
"04/01/24","21","22","27","30","31","33","34","4"
"28/12/23","9","11","15","16","24","27","35","1"
"21/12/23","13","14","20","22","25","34","35","12"
"14/12/23","2","4","6","8","18","22","30","2"
"07/12/23","4","6","15","17","23","31","33","15"
"30/11/23","1","2","11","19","23","30","34","4"
"23/11/23","4","7","23","31","32","33","35","5"
"16/11/23","1","7","8","11","29","31","32","16"
